_model	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens
monitor.bound5-5all.PPMIweight.LENGTHFOC.SOCPOSnav			True	BOW	514	weight	all	5-5	FOC	nav	239
monitor.bound5-5lex.PPMIno.LENGTH5000.SOCPOSall			True	BOW	520	no	lex	5-5	5000	all	240
monitor.bound5-5lex.PPMIno.LENGTH5000.SOCPOSnav			True	BOW	520	no	lex	5-5	5000	nav	240
monitor.bound5-5lex.PPMIno.LENGTHFOC.SOCPOSall			True	BOW	520	no	lex	5-5	FOC	all	240
monitor.bound5-5lex.PPMIno.LENGTHFOC.SOCPOSnav			True	BOW	520	no	lex	5-5	FOC	nav	240
monitor.bound5-5lex.PPMIselection.LENGTH5000.SOCPOSall			True	BOW	374	selection	lex	5-5	5000	all	232
monitor.bound5-5lex.PPMIselection.LENGTH5000.SOCPOSnav			True	BOW	374	selection	lex	5-5	5000	nav	232
monitor.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSall			True	BOW	374	selection	lex	5-5	FOC	all	232
monitor.bound5-5lex.PPMIselection.LENGTHFOC.SOCPOSnav			True	BOW	374	selection	lex	5-5	FOC	nav	232
monitor.bound5-5lex.PPMIweight.LENGTH5000.SOCPOSall			True	BOW	374	weight	lex	5-5	5000	all	232
monitor.bound5-5lex.PPMIweight.LENGTH5000.SOCPOSnav			True	BOW	374	weight	lex	5-5	5000	nav	232
monitor.bound5-5lex.PPMIweight.LENGTHFOC.SOCPOSall			True	BOW	374	weight	lex	5-5	FOC	all	232
monitor.bound5-5lex.PPMIweight.LENGTHFOC.SOCPOSnav			True	BOW	374	weight	lex	5-5	FOC	nav	232
monitor.nobound10-10all.PPMIno.LENGTH5000.SOCPOSall			False	BOW	1473	no	all	10-10	5000	all	240
monitor.nobound10-10all.PPMIno.LENGTH5000.SOCPOSnav			False	BOW	1473	no	all	10-10	5000	nav	240
monitor.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSall			False	BOW	1473	no	all	10-10	FOC	all	240
monitor.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSnav			False	BOW	1473	no	all	10-10	FOC	nav	240
monitor.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSall			False	BOW	751	selection	all	10-10	5000	all	240
monitor.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSnav			False	BOW	751	selection	all	10-10	5000	nav	240
monitor.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSall			False	BOW	751	selection	all	10-10	FOC	all	240
monitor.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSnav			False	BOW	751	selection	all	10-10	FOC	nav	240
monitor.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSall			False	BOW	751	weight	all	10-10	5000	all	240
monitor.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSnav			False	BOW	751	weight	all	10-10	5000	nav	240
monitor.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall			False	BOW	751	weight	all	10-10	FOC	all	240
monitor.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSnav			False	BOW	751	weight	all	10-10	FOC	nav	240
monitor.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSall			False	BOW	1089	no	lex	10-10	5000	all	240
monitor.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSnav			False	BOW	1089	no	lex	10-10	5000	nav	240
monitor.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSall			False	BOW	1089	no	lex	10-10	FOC	all	240
monitor.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSnav			False	BOW	1089	no	lex	10-10	FOC	nav	240
monitor.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSall			False	BOW	563	selection	lex	10-10	5000	all	239
monitor.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSnav			False	BOW	563	selection	lex	10-10	5000	nav	239
monitor.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall			False	BOW	563	selection	lex	10-10	FOC	all	239
monitor.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSnav			False	BOW	563	selection	lex	10-10	FOC	nav	239
monitor.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSall			False	BOW	563	weight	lex	10-10	5000	all	239
monitor.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav			False	BOW	563	weight	lex	10-10	5000	nav	239
monitor.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSall			False	BOW	563	weight	lex	10-10	FOC	all	239
monitor.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSnav			False	BOW	563	weight	lex	10-10	FOC	nav	239
monitor.nobound3-3all.PPMIno.LENGTH5000.SOCPOSall			False	BOW	506	no	all	3-3	5000	all	240
monitor.nobound3-3all.PPMIno.LENGTH5000.SOCPOSnav			False	BOW	506	no	all	3-3	5000	nav	240
monitor.nobound3-3all.PPMIno.LENGTHFOC.SOCPOSall			False	BOW	506	no	all	3-3	FOC	all	240
monitor.nobound3-3all.PPMIno.LENGTHFOC.SOCPOSnav			False	BOW	506	no	all	3-3	FOC	nav	240
monitor.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSall			False	BOW	404	selection	all	3-3	5000	all	240
monitor.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav			False	BOW	404	selection	all	3-3	5000	nav	240
monitor.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSall			False	BOW	404	selection	all	3-3	FOC	all	240
monitor.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSnav			False	BOW	404	selection	all	3-3	FOC	nav	240
monitor.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSall			False	BOW	404	weight	all	3-3	5000	all	240
monitor.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSnav			False	BOW	404	weight	all	3-3	5000	nav	240
monitor.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSall			False	BOW	404	weight	all	3-3	FOC	all	240
monitor.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSnav			False	BOW	404	weight	all	3-3	FOC	nav	240
monitor.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSall			False	BOW	352	no	lex	3-3	5000	all	240
monitor.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSnav			False	BOW	352	no	lex	3-3	5000	nav	240
monitor.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSall			False	BOW	352	no	lex	3-3	FOC	all	240
monitor.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSnav			False	BOW	352	no	lex	3-3	FOC	nav	240
monitor.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSall			False	BOW	286	selection	lex	3-3	5000	all	220
monitor.nobound3-3lex.PPMIselection.LENGTH5000.SOCPOSnav			False	BOW	286	selection	lex	3-3	5000	nav	220
monitor.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall			False	BOW	286	selection	lex	3-3	FOC	all	220
monitor.nobound3-3lex.PPMIselection.LENGTHFOC.SOCPOSnav			False	BOW	286	selection	lex	3-3	FOC	nav	220
monitor.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSall			False	BOW	286	weight	lex	3-3	5000	all	220
monitor.nobound3-3lex.PPMIweight.LENGTH5000.SOCPOSnav			False	BOW	286	weight	lex	3-3	5000	nav	220
monitor.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSall			False	BOW	286	weight	lex	3-3	FOC	all	220
