cw	pmi_4	raw_4	pmi_10	raw_10	freq
B-Hove/name	8.834481	1.0	7.9196115	1	3
B-Immo/name			7.072314	1	7
B-reekswinnaar/name			8.325077	2	4
B./name	1.1144692	3.0	0.20932175	3	20405
B./noun	3.0502713	1.0	2.1425786	1	985
B.E./name			6.002689	1	21
B/name	3.6028624	45.0	3.168867	72	25527
BART/name	3.2079096	1.0	2.316632	1	867
BDT/foto/name	9.933093	1.0	9.018224	1	1
BELOFTEN/name			2.7674768	1	580
BERG/name			3.9996204	1	156
BERINGEN/name	4.1260777	1.0	3.268035	1	340
BETEKOM/name	5.4715047	1.0	4.6066384	1	89
BEVORDERING/name	8.282833	3.0	7.3695655	3	17
BIBOB-project/name			9.018224	1	1
BIBOB/name	7.7358685	1.0	7.5141463	2	9
BIS/name			3.2120352	1	348
BOCHOLT/name	5.3884697	2.0	4.512598	2	195
BPN/name			3.617237	2	534
BRODALA/name			5.819551	1	29
BROEKHOVEN/name	8.834481	1.0	7.9364185	1	3
BROWAEYS/name			7.131154	1	8
BS/name			2.5771976	2	1331
BV/name			2.324157	2	1677
BVW/name			4.0456367	1	235
B_reeks/noun	5.0614805	4.0	4.373833	5	523
Baal/name			1.4581435	1	1969
Baars/name			2.6577854	1	599
Baasrode-Terjoden/noun	8.061291	1.0	7.2264643	1	7
Back/name	2.4857063	1.0	1.5788996	1	1732
Backx/name			2.7308302	1	547
Badder/name			6.533317	1	13
Baeck/name			3.1305933	1	368
Baelemans/name			3.756052	1	194
Baelus/adj	9.933093	1.0	9.018224	1	1
Baert/name			0.8018656	1	3776
Bailliu/name			2.8259637	1	495
Baisy/name	5.1321507	1.0	4.2357445	1	122
Bal/name			1.1483253	1	2682
Baleci/name			4.325959	1	111
Balen/name			1.0686736	1	2935
Balenaren/name			6.127852	1	18
Balenaren/noun	8.546799	3.0	7.6529827	3	12
Balkan/name			1.7621825	4	5758
Balkenende/name			0.30294654	2	12556
Ballegeer/name			3.2123363	1	343
Bank/name			-1.273274	1	30269
Barcelona/name			-0.93714666	1	21572
Barends/name			4.035645	1	146
Barry/name			1.58648	2	3460
Bart/name	-0.8743999	1.0	0.016507987	6	50275
Barthel/name	7.225043	1.0	6.3101735	1	15
Bataille/name	3.571575	1.0	2.6642017	1	583
Bataljon/name			4.0758677	1	143
Battel/name			4.733259	1	75
Beckx/name	4.947776	1.0	4.0428705	1	147
Beer/name			1.3976169	1	2079
Beerschot/name			1.6709161	4	6362
Beervelde/name			2.8794174	2	966
Begeleid/name			4.9778075	1	58
Behartiging/name			6.820999	1	9
Bekker/name			3.1709185	1	351
Belg/noun			-1.5537313	1	40188
Belga/name			-0.6664171	1	21075
Belgica/name			2.241204	1	907
Belgie/name			2.162815	1	1021
Belgisch-Limburg/name			4.7380915	1	74
Belgisch/adj	-1.8998975	1.0	-0.8566044	7	139420
Belgisch/name	2.0532813	1.0	1.1499122	1	2661
Belgische/name			0.8989742	1	3446
België/name	-0.6426062	3.0	-0.8532315	6	118651
Beling/name			5.602138	1	32
Bell/name	2.7740443	2.0	2.5613759	4	2595
Bell14/name	9.933093	1.0	9.711371	2	1
Bellem/name	2.5748994	1.0	1.6773559	1	1586
Bellemans_tijdperk/noun			9.018224	1	1
Bellingen/name			2.383459	1	779
Belmans/name			2.4711516	1	707
Bemensen/noun	9.933093	1.0	9.018224	1	1
Benelux/name			0.8467233	1	3615
Benelux_schaal/noun			9.018224	1	1
Beni/name	4.4868946	1.0	4.281806	2	234
Benny/name			0.3165199	1	6240
Berchem/name	2.6211736	5.0	2.7585604	14	7619
Berchem_vraagstuk/noun			9.018224	1	1
Berchemnm/name			9.018224	1	1
Berete/noun	6.937361	1.0	6.0224915	1	20
Bergen/name			0.34381756	2	11991
Beringen/name	3.4296787	9.0	3.2293346	18	6086
Beringse/name	6.4290385	1.0	5.544706	1	34
Berkenbos/det			4.8632545	1	67
Berkenbos/name	4.3262577	4.0	4.2349076	9	1095
Berkenbos/noun	4.318142	1.0	3.4157362	1	276
Berkenbosspits/det	9.933093	1.0	9.018224	1	1
Berkenrode/name	6.471271	1.0	6.2920065	2	32
Berlage/name			1.7660991	1	1440
Berlanger/name	4.887252	1.0	3.996319	1	157
Berre/name	4.561293	1.0	3.6663659	1	219
Bert/name	-0.1897156	1.0	-0.40093186	2	25214
Besauw/name			3.866668	1	174
Beschrijf/name			3.3102834	1	308
Besluit/name			2.8897185	1	463
Besluitvorming/name	7.793027	2.0	6.889992	2	17
Bestrijding/name			4.1843257	1	127
Bestuur/name	2.7008119	2.0	1.794436	2	2778
Betekom/name	3.3825488	3.0	2.9921646	5	2118
Bettens/name	2.8274097	1.0	1.9251516	1	1240
Bevelhebber/name			6.0685353	1	20
Bever--Herne/name	9.933093	1.0	9.018224	1	1
Bever--Idegem/name			9.018224	1	1
Bever-Bouvignies/name			9.018224	1	1
Bever-Hamme/name			8.325077	1	2
Bever-Herdersem/name			8.612759	2	3
Bever-Herdersem15-1/name			9.018224	1	1
Bever-Herne/name	8.834481	1.0	8.612759	2	3
Bever-Maesdal/noun			8.325077	1	2
Bever-Opstal/name	9.933093	1.0	9.018224	1	1
Bever-Opstal/noun			8.325077	1	2
Bever/name	3.5628355	3.0	3.6433797	8	1772
Bever7/noun			9.018224	1	1
Bever_Aalst/name	9.933093	1.0	9.018224	1	1
Bever_Grimminge/name			9.018224	1	1
Bever_Halle/name	9.239946	2.0	8.730542	3	4
Bever_Herne/name	8.834481	1.0	7.9196115	1	3
Bever_Isières/name			9.018224	1	1
Bever_Merchtem/name	9.933093	1.0	9.018224	1	1
Bever_Oppuurs/name	9.239946	1.0	9.018224	2	2
Bever_Sirault/name			9.018224	1	1
Beveren/name	0.11774039	1.0	-0.0849126	2	18579
Beverst/name			3.5223885	2	495
Bezigheden/name	9.239946	1.0	8.325077	1	2
Bibob-wet/name	8.834481	1.0	7.9196115	1	3
Bibob/name	6.5277376	2.0	6.539168	5	61
Bibob/noun			8.248888	6	13
Bierbeek/name	2.6487439	2.0	2.6739745	5	2961
Bierman/name	4.079455	1.0	3.1693316	1	350
Bijenteelt/noun	9.239946	1.0	8.325077	1	2
Bijstandwet/name			7.9196115	1	3
Bilgicoglu/name			4.4220943	1	100
Bilzen/name			1.4549843	2	4022
Binnenlandse/name			-0.16691661	2	19849
Biologische/name	5.6757092	2.0	4.7708006	2	142
Bjerregaards/det			9.018224	1	1
Bl.Zwart-J.Stars/noun			9.018224	1	1
Blaasveld/name			2.6210442	1	618
Blairs/det			2.078292	1	1048
Blancquaert/name	4.1279583	1.0	3.2218623	1	336
Blander/name	3.827742	1.0	2.9211614	1	449
Blankenberge/name			0.10699061	1	7740
Blankenbergse/adj			2.5444875	1	666
Blanker/name			5.6648173	1	29
Blauw-wit/name	3.7021198	1.0	3.8894105	3	510
Blauw/name			1.5287839	1	1835
Bleux/name			4.239941	1	121
Blijf/name	6.347592	7.0	6.0617123	13	253
Block/name	2.1306796	1.0	1.2283139	1	2469
Blok/name			-1.1638173	1	27014
Blomme/name	2.8641763	1.0	1.9583915	1	1180
Bloso/name			2.4858167	1	695
Bloso/noun			3.2990603	1	312
Blue/name	1.255888	1.0	1.9595345	5	5921
Board/name			2.0924323	1	1032
Bob/name	0.31945676	1.0	-0.58014375	1	15376
Bobby/name	1.9189228	1.0	1.0153959	1	3059
Bocholt/name	1.5669264	1.0	2.283549	5	4364
Bochum/name			2.2875638	1	852
Boekenbeurs/name			3.1948822	2	698
Boekwezen/name	7.2589445	4.0	6.3475294	4	58
Boekwezen/noun	8.834481	3.0	7.9196115	3	9
Boezinge/name	2.5058002	1.0	1.6057013	1	1697
Bogaert/name			1.2916915	2	4608
Bois/name			1.950691	1	1191
Bollars/name	4.731149	1.0	3.8294425	1	183
Bollen/name			1.0161823	1	3954
Bond/name			0.18213344	1	7066
Bondt/name			1.3143588	1	2248
