_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
bevordering.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	-0.9782976726675046	0.17198332569669555	NA	LEMMAREL2	NA	LEMMAREL	187	selection	NA	NA	5000	all	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	-1.2065427250350025	0.22497720271068805	NA	LEMMAREL2	NA	LEMMAREL	187	selection	NA	NA	5000	nav	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	-0.8003439601764151	0.26902347201365434	NA	LEMMAREL2	NA	LEMMAREL	187	selection	NA	NA	FOC	all	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9256487293601758	0.3471684887505408	NA	LEMMAREL2	NA	LEMMAREL	187	selection	NA	NA	FOC	nav	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	-0.6732069439501467	0.5212421225457405	NA	LEMMAREL2	NA	LEMMAREL	187	weight	NA	NA	5000	all	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	-0.8116983916966711	0.5821303846699217	NA	LEMMAREL2	NA	LEMMAREL	187	weight	NA	NA	5000	nav	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	-0.5757089566184164	0.607796689195112	NA	LEMMAREL2	NA	LEMMAREL	187	weight	NA	NA	FOC	all	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.7286452285673821	0.7781556059928892	NA	LEMMAREL2	NA	LEMMAREL	187	weight	NA	NA	FOC	nav	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	-1.00327831397888	0.01280754615494607	NA	LEMMAREL3	NA	LEMMAREL	274	no	NA	NA	5000	all	210	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	-1.2316965807504778	0.06565238521496886	NA	LEMMAREL3	NA	LEMMAREL	274	no	NA	NA	5000	nav	210	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	-0.8370280510468974	0.1577478895003202	NA	LEMMAREL3	NA	LEMMAREL	274	no	NA	NA	FOC	all	210	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	-0.9801006385961912	0.23860706208457555	NA	LEMMAREL3	NA	LEMMAREL	274	no	NA	NA	FOC	nav	210	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	-0.9183482371841488	0.14294122889280486	NA	LEMMAREL3	NA	LEMMAREL	194	selection	NA	NA	5000	all	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	-1.1463538573930654	0.19366980587848032	NA	LEMMAREL3	NA	LEMMAREL	194	selection	NA	NA	5000	nav	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	-0.7546350065333154	0.23797536477752065	NA	LEMMAREL3	NA	LEMMAREL	194	selection	NA	NA	FOC	all	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9031754117940268	0.33803227257950536	NA	LEMMAREL3	NA	LEMMAREL	194	selection	NA	NA	FOC	nav	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	-0.6231826291635962	0.4956111270867709	NA	LEMMAREL3	NA	LEMMAREL	194	weight	NA	NA	5000	all	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	-0.7595412906981731	0.551072721101974	NA	LEMMAREL3	NA	LEMMAREL	194	weight	NA	NA	5000	nav	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	-0.5421960063956164	0.5910643420218706	NA	LEMMAREL3	NA	LEMMAREL	194	weight	NA	NA	FOC	all	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
bevordering.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6945381037010945	0.7670092184635557	NA	LEMMAREL3	NA	LEMMAREL	194	weight	NA	NA	FOC	nav	207	1	bevordering.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall
