cw	pmi_4	raw_4	pmi_10	raw_10	freq
40.000/num			0.61091477	1	6106
40/num	0.3066311	2.0	-0.19699341	3	40859
400/num	0.5641285	1.0	0.34886703	2	15791
402/num			3.7175667	1	270
41/num	0.8279769	1.0	0.61345196	2	12155
42/num	0.6376632	1.0	-0.27146232	1	14677
45/num	1.2503225	3.0	0.62933356	4	23856
450/num	2.3628337	2.0	2.1488652	4	5237
46/num	0.4656994	1.0	-0.4449801	1	17422
48/num			-0.18619576	1	13503
488/num			5.055525	2	143
4Wie/noun	8.434509	1.0	7.515114	1	6
5,3/num			2.222521	1	1216
5.600/num	4.9475164	1.0	4.033105	1	197
5/noun			0.16227739	2	19088
50/num	0.8211046	4.0	0.47203282	7	48857
500/num	0.22738582	1.0	0.012152596	2	22123
504/num			3.6282375	1	298
512.000/num			6.598823	1	15
54/num	1.0075759	1.0	0.10046051	1	10153
549/num	5.3732624	1.0	4.4638677	1	129
56/num			0.10813485	1	10059
56k6/noun			9.306873	1	1
6.000/num			1.2238841	1	3294
6.292,73/num			9.306873	1	1
6.4-inch/noun			9.306873	1	1
6/num	-0.808389	1.0	-1.7196908	1	62429
60/num	0.49844873	2.0	0.6867008	6	33710
600/num	2.6679997	5.0	1.9426217	6	9639
64/num			0.9281607	2	8858
645/num	4.8168573	1.0	3.9057736	1	225
65/num	0.43003938	1.0	-0.47932747	1	18043
69/num	1.3962742	1.0	0.48768827	1	6875
7.798,03/num			9.306873	1	1
7/noun	0.38039708	1.0	-0.525666	1	18997
7/num			-0.19548735	4	54496
70/num			-0.9729476	1	29500
700.000/num	3.4108343	2.0	2.5032015	2	1836
700/num			0.47322097	1	7005
72/num	1.1262456	1.0	0.21669117	1	8993
73/num	1.36959	1.0	0.4595636	1	7053
733/name			6.851567	1	13
743,68/num			4.908727	1	82
750/num	1.7866588	1.0	0.8792765	1	4657
750ST/name	9.127657	1.0	9.306873	3	3
8,4/num	3.5012352	1.0	2.5947678	1	837
8.000/num			1.4558153	1	2617
8.30/noun			1.8872827	1	1689
8/noun			0.09481179	2	20423
8/num	-0.6356634	1.0	-0.4473523	3	52574
80-tal/noun	5.4242992	1.0	4.509431	1	122
80.000/num			1.3652575	1	2865
80/num			-0.96701694	1	29331
800/num	1.7147794	2.0	1.9042133	6	10005
850/num			1.9088522	1	1666
86/num			0.6105134	1	6067
87/num	1.5068493	1.0	1.2900769	2	6147
89/num	1.5223886	1.0	0.6132759	1	6050
9,5/num	3.1403673	1.0	2.2315292	1	1200
9/11/name			3.2418096	1	442
9/num	0.15585887	2.0	0.16304341	5	47693
90/num	0.9162697	2.0	0.41139197	3	22181
91,5/num	6.0596037	1.0	5.148772	1	65
92/num			1.049306	1	3922
95/num			0.4943944	1	6806
96/num	2.120433	1.0	1.2116098	1	3329
98/name	3.848055	1.0	3.6326911	2	591
992.200/num			9.306873	1	1
:/name			1.685727	1	2084
:/punct	-0.3549545	55.0	-0.30787292	143	2182842
;/punct	-0.9506333	10.0	-1.1737336	20	715025
?/punct	-0.6136324	16.0	-0.49146172	45	826450
A./name			-0.72648627	1	23202
A.J./name			3.2782333	1	427
A/name			-1.1937227	1	37251
A12/name	2.803895	1.0	1.9041169	1	1691
ABVV/name			1.3463402	1	2937
AEP/name	7.4773965	1.0	6.595495	1	16
AGR/name			2.657047	1	1151
AID/name			2.9074466	1	615
AJD/name			8.613726	1	2
AP/name			0.21869479	1	11649
ASC/name			4.14066	1	190
ASR/name	3.2191207	1.0	2.3659732	1	1277
A_merk/noun	4.3366985	1.0	3.4248052	1	363
Aalst/name			-0.8387622	1	26544
Aalter/name			0.4262807	1	7504
Aarschot/name			0.8962134	2	9452
Aartrijke/name			2.1646783	1	1306
Abnormal/name			7.802796	2	9
Above/name	5.958321	1.0	5.0477204	1	73
Abramovics/det			7.791746	1	5
Absil/name			6.2364974	1	22
Accoe/name			5.3215995	1	54
Activak/name			7.7278943	1	5
Adegem/name			2.1007185	1	1387
Adriaen/name	4.814623	1.0	4.605484	2	225
Advance/name			4.1527147	1	178
Adventure/name			2.8803039	1	630
Adèle/name			3.4073868	1	369
Aernout/name			3.7888181	1	255
Afrikaans/adj			-0.4020188	1	16737
Agarroud/name	9.533122	1.0	8.613726	1	2
Agnes/name			1.3619733	1	2913
Air/name			0.060475744	1	10646
Akabe/name			5.7702713	1	36
Alain/name	0.9134395	1.0	0.6989211	2	11202
Albert/name			-0.719093	1	23148
Alex/name			-0.04425904	1	12050
Alfa/name			1.9389122	1	1616
Ali/name			0.033952452	1	10850
Alla/name			4.6711736	1	105
Alletwee/noun			6.7041836	2	27
Alma/name			2.2997704	1	1146
Alma_restaurant/noun			5.751525	1	36
Alpen/name			1.2914138	1	3086
Alsemberg/name			2.2646308	1	1181
Amber/name			2.681481	1	772
Amerika/name	-0.50183	1.0	-0.72035515	2	45923
Amerikaan/noun			-1.6103339	1	56013
Amerikaans/adj	-1.4180872	2.0	-1.9185969	3	231449
Ameye/name			3.55573	1	319
Amsterdam/name	-1.6535091	1.0	-0.9470152	5	146502
Amsterdam_Rotterdam/name			6.399972	1	19
Amsterdammer/noun	1.7674333	2.0	1.5543607	4	9563
Amsterdams/adj	-0.5692911	1.0	-0.77698404	2	49844
Amsterdams/name			2.6838377	2	1550
Anand/name			2.1361384	1	1326
Anderendaags/adv			3.2536082	1	426
Ang/name			3.2218044	1	449
Angeles/name			0.1811271	1	9344
Anja/name			0.88091844	1	4696
Ann/name			1.2980974	3	9235
Anna/name			0.3503031	1	7914
Anneleen/name	4.8638034	2.0	3.958338	2	429
Annelies/name			1.337948	1	2991
Annick/name			1.9545603	1	1599
Anseeuw/name			3.9244444	1	223
Antilliaans/adj			1.1497607	1	3589
Antwerpen/name			-1.0513515	3	98965
Antwerps/adj	-0.44726044	1.0	0.4425528	6	43848
Aoulad/name			7.0194016	1	10
Apolonijja/name			9.306873	1	1
Appel/name	1.9398733	1.0	1.7249242	2	4005
Apple/name			1.4079795	1	2775
Ardooie/name			2.0642898	2	2921
Ardoois/det	10.003125	1.0	9.211563	1	2
Arena/name			0.23316614	1	8906
Arid/name			3.3071926	1	410
Arijs/name	3.4070716	1.0	2.4987726	1	933
Ark/name			2.7521565	1	717
Armstrong/name			-0.18293814	1	13580
Arnas/name			7.920579	1	4
Arnhem/name			0.1687541	1	9585
Artis/name			1.8647614	1	1761
Aschkenaz/noun			9.306873	1	1
Asse/name			0.46286854	1	7324
Assebroek/name	3.55226	2.0	2.6546555	2	1617
Asselberghs/name	5.748932	1.0	4.834663	1	88
Astrid/name	2.0638595	1.0	1.1586734	1	3601
Atalik/name			7.515114	1	6
Atlanta/name			1.5401174	2	4792
Australisch/adj	0.77633095	1.0	-0.12795784	1	12935
Automatische/name			5.6356487	1	40
Aviv/name			1.2896152	1	3080
Aziatisch/adj	1.3526256	1.0	0.442395	1	7188
Azië-Pacific/name			6.2888904	1	21
Azou/name			4.8577724	1	87
BERLAAR/LIER/noun	10.226269	1.0	9.594555	1	1
BGJ/name			9.306873	1	1
BIB/name	3.1431956	1.0	2.2432687	1	1204
BIS_computer/noun			8.613726	1	2
BIS_monitor/noun			8.208261	1	3
BLOSO/name			4.498354	1	126
BS/name			2.1726997	1	1331
Bach/name			0.6030428	1	6140
Backer/name	2.2564356	2.0	1.347737	2	5816
Backhaus/name			6.3211913	1	20
Bad/name			1.7283697	1	1993
Baisy-Thy/name			4.8159924	1	90
Baker/name			1.664421	1	2110
Bakker/name	1.081374	1.0	0.17023318	1	9456
Bal-laaerweg/name			9.306873	1	1
Balanske/name	6.74119	1.0	5.852135	1	33
Balispreeuw/name	8.839974	1.0	7.920579	1	4
Ballaarweg/noun			7.149314	1	9
Barco/name			2.4435663	2	1981
Barendse/name			4.957886	1	78
Barman/name	3.6289525	1.0	2.7227726	1	743
Barrezeele/name			6.741924	1	13
Barry-fan/name			9.306873	1	1
Barry/name	2.0911782	1.0	1.1819822	1	3460
Bart/name	0.11192282	2.0	-0.10030784	4	50275
Bartelsman/name			5.3508334	1	53
Bartje/name	5.0664954	1.0	4.854854	2	176
Battlezone/name			6.855868	1	13
Beckett/name			2.4106846	1	1002
Becuwe/name			5.6230063	1	41
Beeldende/name			2.4722803	1	951
Beernem/name			1.9672868	2	3214
Beersel/name	2.211561	1.0	1.316381	1	3081
Begeleidingscentrum/name			6.0018196	1	28
Begijnenborre/name			6.3161535	1	21
Bekaf/name			5.3958507	1	51
Bekegem/name			3.9032953	1	230
Beleid/name	3.7708738	1.0	2.8590128	1	638
Belg/noun			-1.265082	1	40188
Belga/name			-0.37776783	1	21075
Belgisch/adj	0.002716063	5.0	-0.7221058	6	139420
België/name			-1.6631945	2	118651
Belle/name			1.2532086	1	3233
Bellens/name			2.8607566	1	643
Benny/name			0.6051692	1	6240
Berenschot/name	4.065589	1.0	3.1569102	1	480
Berg/name			0.27800673	1	8483
Berger/name			1.7493742	1	1949
Bergsteijn/name	9.533122	2.0	8.613726	2	4
Berlijn/name	0.37531212	1.0	0.15980546	2	19128
Bert/name	0.10345997	1.0	-0.11228259	2	25214
Beschutte/name			5.5945215	1	45
Beuckels/name			4.8507833	1	87
Beukels/name	8.146828	1.0	7.227432	1	8
Beursstraat/name	6.296897	1.0	5.3958507	1	51
Beursstraat/noun			5.780513	1	35
Bevegemse/name			4.279381	1	157
Bevere/name			2.5801003	1	857
Beveren-Leie/name	3.087501	1.0	2.1879256	1	1274
Beverlogo/name			9.306873	1	1
Beverwijk/name	3.4593573	1.0	2.553202	1	880
Bewijsvoering/name			9.306873	1	1
Biezabijs/name	8.335419	1.0	7.427408	1	7
Big/name			0.55967605	2	12932
Bilt/name			2.9055367	1	616
Binnenlandse/name	0.3349487	1.0	-0.57141453	1	19849
Björk/name			2.6243887	1	815
Black/name	1.1882898	1.0	0.27653906	1	8474
Blanken/name			3.4341922	1	366
Blankenberge_Neerpelt/name			9.306873	1	1
Bleek/name			4.0277386	1	202
Bloso/name	4.3800106	2.0	4.1607604	4	695
Bloso/noun	4.493332	1.0	3.5877097	1	312
Bloso_verzekering/noun			7.360963	1	7
Bob/name			-0.2914945	1	15376
Boeckaert/name			5.708192	1	37
Boelens/name			3.4906552	1	340
Boeykens/name			2.947905	1	587
Bogaard/name	4.7008157	1.0	3.7958667	1	254
Bogaert/name			0.8871936	1	4608
Bogaerts/name			1.3162116	1	3344
Bollen/name			1.3048316	1	3954
Bonheiden/name	2.3436236	1.0	1.4527054	1	2701
Bootsma/name			4.1125283	1	183
Borsten/name			5.6919093	1	38
Bosch/name			0.19443233	2	18576
Bosco-speelpleinwerking/name	9.533122	1.0	8.613726	1	2
Bosman/name			1.8757216	1	1723
Bosmolens/name			4.8952875	1	86
Bosscher/name			3.8828046	1	230
Botteldoorn/name			4.0749626	1	189
Boudewijn/name			0.70015013	1	5625
Bousard/name			3.6756613	1	471
Bouw/name			1.6488109	1	2220
Bouwel/name			2.042633	1	1454
Bouwman/name	3.1947484	1.0	2.2830253	1	1139
Boven/name			1.7973735	1	1856
Boy/name			1.293861	1	3075
Bram/name			0.295124	1	8414
Brasschaat/name	1.869303	1.0	0.97501004	1	4321
Brecht/name			0.9656418	1	4295
Bredestraat/noun			4.591504	1	113
Bridgeliga/noun	10.226269	1.0	9.306873	1	1
Briek/name			3.0439513	1	544
Briekeljong/noun	9.533122	1.0	8.613726	1	2
Brilliance_serie/noun	10.226269	1.0	9.306873	1	1
Brit/noun			-0.63034165	1	21127
Broeckx/name	4.0839624	1.0	3.1717412	1	468
Broeders/name			2.7211154	1	737
Bronselaer/name			5.2455683	1	59
Brother/name	1.3409662	1.0	1.1321139	2	7330
Bruce/name			1.7150998	2	4052
Brugse/adj			0.1292368	1	9925
Brussel/name			-1.0495735	4	132165
Brussels/adj	-0.2721052	1.0	-1.1786526	1	36613
Bubbelgum/name			8.613726	1	2
Buggenhout/name	1.9411023	1.0	1.7394629	2	4027
Buggenhoutse/adj			3.222032	1	458
Buggenhoutse/name	6.653221	1.0	5.7819843	1	36
Buik/name			6.311141	1	20
Building/name			2.6826088	1	762
Buitenschoolse/name			4.202444	1	168
Bulicame/noun			9.306873	1	1
Bureau/name	1.1663444	1.0	1.3570583	3	8655
Business/name			1.220509	1	3335
Bussum/name	3.4363122	1.0	2.5340216	1	900
Buurtspeelplein/name			9.412233	1	1
Böll/name			4.397164	1	137
C./name			-0.35102707	1	15903
CBZ/name			3.7001524	1	424
CDA_fractie_lid/noun			7.6974354	1	5
CDA_minister/noun			3.4225764	1	366
CE/name			3.5208964	1	331
CM/name			3.408621	2	864
CNN/name	2.959616	3.0	2.5600264	5	4335
COS_statistiek/noun	10.226269	1.0	9.306873	1	1
CVP_oppositie/noun			3.9230664	1	223
CVZ/name	4.7629666	1.0	3.854548	1	237
Camp/name			0.8183264	1	4930
CampZone/name			7.004288	1	10
Camping/name			3.0525637	1	544
Canal+/name	2.440444	1.0	2.2284894	2	2448
Canale/noun			6.4165015	1	19
Carein/name			8.259554	1	3
Carl/name	1.3091257	1.0	0.4000733	1	7537
Carlsen/name			3.8644555	1	234
Caroline/name			1.6073592	2	4535
Carrefour/name			1.3839778	1	2860
Casper/name			2.3162944	1	1115
Cathy/name	2.9424772	1.0	2.0355518	1	1474
Center/name	1.2817512	1.0	1.0661056	2	7706
Centraal/name			0.51140076	2	13476
Cern/name	5.7532024	1.0	4.839816	1	88
Cerpac/name			6.311141	1	20
Challenge-rijders/name			9.306873	1	1
Charles/name	1.3358066	2.0	0.42641976	2	14675
Charlotte/name			1.0138866	1	4073
Chicago/name			0.5546869	1	6433
Chiem/name			4.9431376	1	81
China/name	-0.19120191	1.0	0.2867071	4	33907
Chiro/name			1.6103424	1	2333
Christelijke/name	3.2468908	1.0	3.032959	2	1086
Christian/name			0.1301775	1	9853
Christine/name	1.8674561	1.0	0.9569395	1	4303
Châtel/name	4.3984265	1.0	3.4943857	1	342
Cindy/name			2.5083191	3	2750
Cinémagique/noun	9.127657	1.0	8.208261	1	3
Circuskuren/name			9.306873	1	1
Cities/name	5.7719216	1.0	4.8560205	1	86
Claire/det			5.8271728	1	33
Claus/name			0.7049942	2	11684
Clement/name	1.7874426	1.0	0.8767532	1	4658
Close/name			2.3542879	1	1065
Club/name			-0.42361423	2	34514
Clé/name			5.6706038	1	39
Cock/name			0.6816241	1	5667
Cog/name			6.0879974	1	25
Cog/noun			7.6974354	1	5
Colin/name			0.80341387	1	5075
College/name			0.614039	1	6111
Comité/name			0.3596003	1	7873
Compaq/name			2.5806098	2	1726
Componenten/name			4.445512	1	132
Components/name			5.345425	3	164
Concertgebouw/name	1.6127886	1.0	0.70483345	1	5561
Coninx/name			2.3939812	1	1025
Consumer/name			3.6158383	1	301
Cordeels/name	7.9236836	1.0	7.004288	1	10
Coronel/name	4.1117573	1.0	3.212401	1	470
Counselors/name			7.5930753	1	6
Coördinatrice/name			6.311141	1	20
Creten/name	5.155009	1.0	4.247765	1	161
Cruyff/name			3.7054927	1	275
Cultureel/name			1.2239922	1	3294
Cultuur/name			1.0224068	3	12187
Curry/name			2.776433	1	699
Cypsela/name			9.306873	1	1
D'Hose/name			5.8411374	1	32
D./name			-0.43890738	1	17314
D9/name			8.208261	1	3
DAC_project/noun			7.515114	1	6
DDB/name	4.6255345	1.0	3.812167	1	317
DESKPRO/name			9.306873	1	1
DMDS/name			5.7500978	1	36
DTB/name	3.030238	1.0	2.2102346	1	1879
Dageraadplaats/name	5.86317	1.0	4.9728556	1	79
Dan/name			0.7669405	1	5194
Daniela/name			2.826982	1	661
Dank/prep			2.7914941	1	688
Danny/name			0.67162734	3	17267
Darline/name			4.3496385	1	148
Datex/name			7.360963	2	14
David/name	-0.49582225	1.0	-0.71140736	2	45891
Dayton/name			2.867283	1	631
De/name	-0.88583785	9.0	-0.32657152	39	609210
De/noun	2.4222214	1.0	1.5313454	1	2480
Debecker/name			4.0308013	1	199
Deborah/det			6.5437036	1	16
Deborah/name	3.0780213	1.0	3.2676904	3	1293
Debruyne/name	3.057689	1.0	2.1475813	1	1304
Decoster/name	3.5496578	1.0	2.6403618	1	810
Deens/adj			0.1731709	1	9515
Dehaene/name			0.40913618	1	7515
Deinse/adj	3.571633	1.0	2.6683054	1	787
Delaere/name			3.3036654	2	823
Delft/name			1.2719101	2	6340
Delizée/name	8.839974	1.0	7.920579	1	4
Dell/name	3.2721071	2.0	2.7700608	3	2130
Delphi/name			3.9540677	1	216
Deltex/name			6.500487	1	17
Deman/name			2.1803842	1	1704
Demuynck/name			3.4635463	2	701
Den/name	-0.5336719	2.0	-0.5229727	5	94996
Dendermonde/name			0.6236699	2	12291
Dendermondse/adj	2.345937	1.0	1.448735	1	2657
Denemarken/name	0.9674716	1.0	0.05814898	1	10591
Deregulering/name	6.6289563	1.0	5.7345276	1	37
Deriemaeker/name			4.7791243	1	95
DesXcape/name	9.533122	1.0	8.613726	1	2
Described/name	10.226269	1.0	9.306873	1	1
Destelbergen/name			1.5099106	1	2550
Detienne/name	4.842347	1.0	3.9350731	1	220
