_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
monitor.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	-1.486191595817681	0.7131770070575563	NA	LEMMAREL1	NA	LEMMAREL	114	weight	NA	NA	FOC	all	218	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	-1.432269025293389	0.7776868941478075	NA	LEMMAREL1	NA	LEMMAREL	114	weight	NA	NA	FOC	nav	218	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-1.714241407162817	0.16980043499893752	NA	LEMMAREL2	NA	LEMMAREL	259	no	NA	NA	5000	all	240	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	-1.7477677246452543	0.16411670766323205	NA	LEMMAREL2	NA	LEMMAREL	259	no	NA	NA	5000	nav	240	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	-1.1812733924060117	0.4241001719928525	NA	LEMMAREL2	NA	LEMMAREL	259	no	NA	NA	FOC	all	240	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-1.1706912889468706	0.4771443449841274	NA	LEMMAREL2	NA	LEMMAREL	259	no	NA	NA	FOC	nav	240	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	-1.6387511403265755	0.252822646295296	NA	LEMMAREL2	NA	LEMMAREL	210	selection	NA	NA	5000	all	234	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	-1.678273482168282	0.24758792696902365	NA	LEMMAREL2	NA	LEMMAREL	210	selection	NA	NA	5000	nav	234	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	-1.1391587201142244	0.4511345228268112	NA	LEMMAREL2	NA	LEMMAREL	210	selection	NA	NA	FOC	all	234	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	-1.0929094330967464	0.4983208179767377	NA	LEMMAREL2	NA	LEMMAREL	210	selection	NA	NA	FOC	nav	234	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	-1.1089898457731238	0.7451093392379186	NA	LEMMAREL2	NA	LEMMAREL	210	weight	NA	NA	5000	all	234	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	-1.1730827392271002	0.7527194377215559	NA	LEMMAREL2	NA	LEMMAREL	210	weight	NA	NA	5000	nav	234	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
monitor.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	-0.8025758546180618	0.8927320188554211	NA	LEMMAREL2	NA	LEMMAREL	210	weight	NA	NA	FOC	all	234	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.7827246847320636	0.9266969681871852	NA	LEMMAREL2	NA	LEMMAREL	210	weight	NA	NA	FOC	nav	234	2	monitor.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav
monitor.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	-1.6603999692866291	0.13199640436572324	NA	LEMMAREL3	NA	LEMMAREL	309	no	NA	NA	5000	all	240	1	monitor.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall
